134,Kensington,302136.2637,52597.29134
135,Kew Gardens,314372.5303,60181.90104
136,Kew Gardens Hills,315223.1952,62470.74709
137,Kingsbridge,308174.4636,79411.97581
138,Kingsbridge Heights,308505.6752,78887.87302
139,Kips Bay,301862.6796,63783.80545
140,Laurelton,321640.4713,56512.50074
141,Lenox Hill,303327.2908,66748.13576
142,Lighthouse Hill,288494.7999,45655.85333
143,Lincoln Square,301296.1308,67446.83982
144,Lindenwood,312584.9499,55431.41031
145,Little Italy,300265.6229,61390.01438
146,Little Neck,322490.9184,66374.46864
147,Livingston,290843.0291,52740.49938
148,Long Island City,304755.9235,64565.95669
149,Longwood,308645.6129,72476.19858
150,Lower East Side,301254.7837,61222.7326
151,Madison,304421.8874,48868.28224
152,Malba,314536.9916,69306.0313
153,Manhattan Beach,304805.1453,45711.00926
154,Manhattan Valley,302945.1199,70149.15907
155,Manhattanville,303694.5844,72107.67246
156,Mapleton,301642.7236,50475.40846
157,Marble Hill,307532.0701,78800.05138
158,Marine Park,305526.5901,49296.67205
159,Mariners Harbor,286381.1323,51756.98664
160,Maspeth,308232.2652,62136.58472
161,Meatpacking District,299410.085,63676.64598
162,Meier's Corners,288940.0439,48949.70184
163,Melrose,307109.3713,72628.64792
164,Middle Village,310193.6927,61307.10013
165,Midland Beach,291941.704,45289.30776
166,Midtown,301425.609,65696.07326
167,Midtown East,302504.3816,65408.05342
168,Midtown South,301023.915,64696.38776
169,Midwood,303360.2005,50395.18389
170,Mill Basin,307605.7122,49327.27391
171,Morningside Heights,303211.1913,71249.35027
172,Morris Heights,307123.7122,75916.1166
173,Morris Park,312235.1109,75997.91153
174,Morrisania,307676.0369,73545.69373
175,Mott Haven,306866.3359,71490.93981
176,Mount Hope,307648.1752,75649.45773
177,Murray Hill,301901.2595,64366.4364
178,Murray Hill (Queens),316148.0543,66520.4039
179,Neponsit,311695.5192,44996.55057
180,New Brighton,292240.1615,52610.60956
181,New Dorp,290269.0967,44870.11308
182,New Dorp Beach,290928.9727,44152.36472
183,New Springville,286462.2703,46677.62023
184,NoHo,300557.5266,62253.65089
185,NoMad,301137.6845,64152.4808
186,Nolita,300417.6974,61733.47168
187,Norwood,310223.7277,78943.99668
188,Oakland Gardens,320639.5098,63996.92356
189,Oakwood,289876.0479,43854.87946
190,Ocean Hill,307274.6715,56860.16223
191,Old Town,292439.8012,47756.75539
192,Olinville,311435.0288,77888.85682
193,Ozone Park,312909.4669,56890.38288
194,Park Slope,301656.4292,56007.40479
195,Parkchester,311958.718,74533.01116
196,Pelham Bay,314262.663,75599.0354
197,Pelham Gardens,313214.7653,77205.55324
198,Pelham Parkway,312010.2216,76656.48353
199,Pleasant Plains,282135.0222,39232.7359
200,Port Morris,307296.6384,70913.14833
201,Port Richmond,288384.0561,51704.36923
202,Prince's Bay,282767.1256,39708.29343
203,Prospect Heights,302674.1676,56763.96373
204,Prospect Park South,302899.5427,53526.68074
205,Prospect-Lefferts Gardens,303804.2134,54661.87148
206,Queens Village,321823.256,61693.31462
207,Randall Manor,291304.8275,52526.10206
208,Red Hook,299161.1428,56455.54394
209,Rego Park,311777.4684,62247.97374
210,Richmond Hill,314297.5576,58650.24263
211,Richmondtown,288361.8832,44928.48643
212,Ridgewood,308065.8194,59915.28645
213,Riverdale,307710.0414,81006.21182
214,Rockaway Beach,315564.7442,46599.87625
215,Rockaway Park,313644.8135,45909.02623
216,Roosevelt Island,304217.7415,66094.64018
217,Rosebank,293995.0198,49589.7071
218,Rosedale,322335.9441,54762.35301
219,Rossville,281890.9674,42278.07428
220,Roxbury,309220.3833,44437.5518
221,Schuylerville,314189.052,74302.4842
222,Sea Gate,299370.7783,45571.37886
223,Sheepshead Bay,304455.2003,47170.46021
224,Shore Acres,294659.1302,49162.32536
225,Silver Lake,291804.4231,51154.64598
226,SoHo,299934.4105,61835.48753
227,Soundview,311047.679,72924.76335
228,South Beach,293866.4375,47326.81083
229,South Harlem,304158.105,70790.15145
230,South Jamaica,317707.3954,57548.01816
231,South Ozone Park,315569.1043,56584.62249
232,South Slope ,301034.2828,55184.72972
233,South Street Seaport,299722.7732,60055.16984
234,South Village,299733.1315,62053.20168
235,South Williamsburg,303414.6017,60414.25816
236,Springfield Gardens,319920.6281,56254.78729
237,Spuyten Duyvil,307000.7186,79518.61358
238,St. Albans,319959.3935,58886.33299
239,St. George,293170.2625,52838.01293
240,Stapleton,293285.6052,50823.86065
241,Starrett City,310012.2368,53486.80429
242,Stuyvesant Town,301875.5812,62837.03264
243,Sugar Hill,304734.5525,73375.42322
244,Sunnyside,306636.1744,63994.90286
245,Sunnyside (Staten Island),291229.922,49742.8594
246,Sunset Park,299245.0805,53222.11822
247,Sutton Place,303143.3011,65615.00487
248,Throgs Neck,315399.2348,72586.96336
249,Times Square/ Theater District,301163.3527,65703.81167
250,Todt Hill,290792.3141,47853.19394
251,Tompkinsville,293154.1415,51865.58293
252,Tottenville,279484.4055,37918.45782
253,Travis,283960.3786,47211.79646
254,Tremont & East Tremont,309205.2264,75072.58768
255,TriBeCa,299292.4419,61298.30382
256,Tudor City,302429.8415,64689.04503
257,Turtle Bay,302622.7003,65232.15565
258,Two Bridges,300298.1461,60461.3492
259,Union Square,300813.5,63211.47343
260,University Heights,307587.5234,76702.93881
261,Upper East Side,303683.2717,67425.95037
262,Upper West Side,302038.8473,68869.56374
